id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18894761,Cozy 1 bdrm. Come visit the heart of Austin!,131669320,Rommel Angelo,,78705,30.295286807072245,-97.74528993290014,Private room,33,1,1,2017-05-24,0.05,1,0
18895377,Texas Dog-Trot/Boggy Creek Urban Farm/East Austin,2739535,Carol,,78702,30.262681408391334,-97.70110203691083,Entire home/apt,80,31,1,2017-10-11,0.06,1,74
18896520,Casa Alteza - Modern Westlake Oasis,3414586,Rory,,78746,30.317542483482956,-97.80701587878512,Entire home/apt,489,2,32,2018-12-27,1.62,1,250
18908366,Open-Concept 1BR Cabin w/ Pool,109638288,TurnKey Vacation Rentals,,78733,30.342409064467766,-97.8564718190068,Entire home/apt,305,3,3,2018-08-12,0.18,61,347
18909908,-20% Airstream Houseboat Amazing Lake Travis View,84745086,John Andrew,,78734,30.42165563649169,-97.94543101373154,Entire home/apt,111,1,41,2018-12-24,2.03,1,354
18913454,Elegant 1BR w/ Pool + Gym in Downtown Austin,131816044,Lyric,,78701,30.269780709610213,-97.75001478185438,Entire home/apt,125,2,43,2018-12-19,2.26,10,83
18914680,Convenient 1BR w/ Pool in Downtown Austin,131816044,Lyric,,78701,30.271342350471357,-97.74838956363597,Entire home/apt,125,2,42,2019-02-01,2.36,10,99
18914845,Prime 1BR w/ Pool + Gym in Downtown Austin,131816044,Lyric,,78701,30.271621404808204,-97.74792006993556,Entire home/apt,124,2,45,2019-01-24,2.25,10,74
18915061,One Bedroom Domain Condo,22057376,Todd,,78758,30.40119717138506,-97.72456185364099,Entire home/apt,105,2,55,2018-12-13,2.66,1,50
18926427,Private 1BR/1BA | WiFi+ Gym | Downtown,131816044,Lyric,,78701,30.271147159073468,-97.7497605279788,Entire home/apt,125,2,33,2019-01-27,1.67,10,97
18926529,Nice 1BR w/ Pool + Gym in Downtown Austin,131816044,Lyric,,78701,30.270059962551596,-97.74946615791367,Entire home/apt,125,2,54,2019-01-31,2.70,10,105
18930348,"Zen Oasis Betwn S. Congress/Lamar, minutes to ACL",34133801,Alex,,78704,30.242434686242152,-97.76371512154522,Entire home/apt,109,2,37,2018-11-11,2.00,1,66
18936099,Relaxing Clarksville Townhome - Perfect Location!,21412692,Jon,,78703,30.283857592082875,-97.76103332652247,Entire home/apt,75,1,161,2019-02-01,7.98,7,341
18941307,Stay in a Modern Loft Close to Driskill Hotel,15782486,Top Trip Rentals,,78701,30.266585139187534,-97.74201336584595,Entire home/apt,299,1,83,2019-01-27,4.02,33,244
18942079,New contemporary home Zilker area,132051989,Michael,,78704,30.249634947718764,-97.77428262298943,Entire home/apt,1950,3,0,,,1,0
18946100,Mediterranean Retreat Lake Travis Deep Water Cove,132085108,Eric,,78734,30.378586284085173,-97.97769931385763,Entire home/apt,937,2,13,2018-08-12,0.67,1,29
18946299,South Central Austin Oasis,132086717,Corinne,,78704,30.251859903379053,-97.78763471630741,Entire home/apt,1000,2,0,,,1,0
18950180,Quiet charming house,80501600,Melissa,,78725,30.23884289883172,-97.57152212361527,Entire home/apt,175,2,2,2018-03-18,0.13,1,84
18957088,Casa Azul,132186386,Valerie,,78752,30.3408133077292,-97.71447331013725,Entire home/apt,75,30,7,2019-01-31,0.43,1,266
18958550,"LAKEFRONT OASIS- Lakeway, TX at LakeTravis",132201939,Karen,,78734,30.372748020577532,-97.98899428453632,Entire home/apt,122,7,0,,,1,0
18962911,"Private Downtown Suite close to ACL, Zilker",834822,Abby,,78704,30.253500305743028,-97.74656346693689,Private room,75,2,14,2017-11-10,0.70,2,0
18970880,Luxury Modern Estate Home in Barton Creek,2947621,Krisstina,,78735,30.279099440438955,-97.86458926712562,Entire home/apt,1950,2,7,2019-01-13,0.43,2,171
18972407,"2/2 Apt in South Austin, Easy Access to Downtown!",82156124,Jessica,,78745,30.208264546733083,-97.80576545737561,Entire home/apt,46,1,0,,,1,0
18985824,"",21573147,Paula,,78704,30.245655536128375,-97.73871445060144,Entire home/apt,649,1,9,2018-10-21,0.76,1,27
18997849,"Charming, Eclectic Duplex with a Leafy Patio",2118226,Irma,,78757,30.366073492701556,-97.722739283644,Entire home/apt,81,2,60,2019-01-27,3.05,2,109
19011922,Tree-Flanked Sanctuary Six Miles to Downtown Austin,80576828,Pete,,78758,30.36414145207218,-97.70284889013261,Entire home/apt,249,3,40,2019-02-03,2.21,3,273
19012398,"Bright, clean room w/ private bath near downtown",132645445,Lynn,,78741,30.239516413736986,-97.73109034289078,Private room,45,2,79,2018-09-30,3.87,2,0
19016460,"1BR Steps from Rainy, Perfect for SXSW",16380601,Michael,,78702,30.256911289026913,-97.73247367474352,Entire home/apt,2000,2,0,,,1,13
19016686,"Hyde Park Guest House, New & Very Private/Quiet",42610539,Gloria,,78751,30.302177573994676,-97.71747503281982,Entire home/apt,105,2,47,2019-01-22,2.33,2,324
19016759,Comfortable Private Room in Downtown Luxury Condo,132678309,Kellen,,78701,30.281030084709077,-97.73993098277417,Private room,79,1,31,2019-01-11,1.52,1,0
19017960,Beautiful Lake Travis Waterfront Retreat,132665147,Kimberly,,78734,30.416044943377834,-97.94276715377981,Entire home/apt,399,3,93,2019-01-28,4.64,2,234
